nome_fundo;CNPJ;PL_20210114;share
VINLAND MACRO ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;28.581.109/0001-89;361.19;0.21
DAHLIA GLOBAL ALLOCATION FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;35.432.385/0001-40;342.41;0.2
GENOA CAPITAL RADAR FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;35.828.684/0001-07;340.01;0.2
OPPORTUNITY LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;18.471.807/0001-78;342.7;0.2
VERSA LONG BIASED FUNDO DE INVESTIMENTO MULTIMERCADO;18.832.847/0001-06;374.96;0.2
IBIUNA LONG SHORT ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29.732.926/0001-53;325.94;0.19
ITAÚ PRIVATE LONG AND SHORT PLUS MULTIMERCADO FDO DE INVESTIMENTO EM COTAS DE FDOS DE INVESTIMENTO;17.329.579/0001-33;327.38;0.19
KAPITALO ZEVA FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;13.081.827/0001-19;323.35;0.19
MAR ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;32.397.723/0001-62;332.43;0.19
WESTERN ASSET MULTITRADING PREMIUM FICFI MULTIMERCADO;23.611.241/0001-72;335.9;0.19
ADAM MACRO STRATEGY II D60 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29.286.406/0001-64;309.38;0.18
CLARITAS LONG SHORT ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27.944.406/0001-89;312.72;0.18
IBIUNA HEDGE STR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;15.603.942/0001-31;311.83;0.18
NEO MULTI ESTRATÉGIA 30 FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;08.771.538/0001-01;310.14;0.18
SAFARI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO II;23.960.625/0001-09;293.06;0.18
FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA ESTRATÉGICO MULTIMERCADO LONGO PRAZO;03.737.200/0001-10;300.63;0.17
OCCAM RETORNO ABSOLUTO BTGP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;35.618.031/0001-95;295.26;0.17
PERSEVERA COMPASS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;31.326.427/0001-08;305.57;0.17
RPS EQUITY HEDGE D30 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;25.530.044/0001-54;282.45;0.17
TRUXT I LONG SHORT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.262.377/0001-02;302.68;0.17
ABSOLUTE ALPHA MARB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;35.618.055/0001-44;278.93;0.16
BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO MACRO INSTITUCIONAL;21.287.421/0001-15;281.87;0.16
CANVAS ENDURO 30 CSHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;15.212.344/0001-31;287.68;0.16
FOF MULTI GLOBAL EQUITIES MULTIMERCADO INVESTIMENTO NO EXTERIOR FDO DE INV EM COTAS DE FDOS DE INVES;17.412.472/0001-54;280.36;0.16
OCEANA LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;19.496.576/0001-10;268.86;0.16
PORTO SEGURO MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;00.400.490/0001-13;271.33;0.16
RPS TOTAL RETURN D90 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;35.088.121/0001-11;261.97;0.16
KAPITALO KZTP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;31.248.306/0001-95;249.21;0.15
KAPITALO ZETA ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.521.581/0001-78;249.29;0.15
TI KAPITALO ZETA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;18.298.411/0001-70;263.37;0.15
TRUXT LONG SHORT ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.262.363/0001-99;266.96;0.15
TRUXT MACRO ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.261.488/0001-02;264.11;0.15
BTG PACTUAL TOF FUNDO DE INVESTIMENTO MULTIMERCADO;23.657.960/0001-24;263.52;0.14
CANVAS VECTOR CSHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;28.345.351/0001-53;248.34;0.14
HIX PREV 100 MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;32.760.223/0001-43;235.54;0.14
IBIUNA LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;17.554.200/0001-99;233.67;0.14
LOGOS TOTAL RETURN FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;11.182.072/0001-13;233.27;0.14
XP ADVISORY PORTFOLIO PRIVATE II FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;34.231.958/0001-05;243.39;0.14
ALPHA KEY LONG BIASED CSHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;31.525.084/0001-00;223.81;0.13
DAHLIA TOTAL RETURN ESTRATÉGIA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;35.504.342/0001-23;229.9;0.13
JGP WM OPT FI EM COTAS DE FI MULTIMERCADO INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;20.485.412/0001-76;227.01;0.13
KAPITALO CGI ZETA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;31.247.845/0001-00;227.56;0.13
QUANTITAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO MALLORCA;22.918.359/0001-85;228.8;0.13
QUANTITAS FUNDO DE INVESTIMENTO MULTIMERCADO ARBITRAGEM LONGO PRAZO;20.077.711/0001-71;219.14;0.13
SAFARI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;10.158.171/0001-05;216.67;0.13
SUL AMÉRICA APOLLO FUNDO DE INVESTIMENTO MULTIMERCADO;17.797.493/0001-35;223.78;0.13
XP MACRO PLUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;30.068.713/0001-58;216.29;0.13
ACE CAPITAL RED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;34.867.860/0001-49;204.73;0.12
BTG PACTUAL EQUITY TOF FUNDO DE INVESTIMENTO MULTIMERCADO;31.964.487/0001-56;205.27;0.12
BTG PACTUAL HIGHLANDS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;34.096.227/0001-02;204.56;0.12
KAIRÓS MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;32.318.799/0001-55;212.96;0.12
NOVUS MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;14.146.726/0001-41;207.3;0.12
OCEANA LONG BIASED ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;33.401.080/0001-46;213.41;0.12
PANDHORA ESSENCIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24.140.265/0001-53;217.63;0.12
POLO NORTE I FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;07.013.315/0001-12;213.55;0.12
SAFRA INFRAESTRUTURA PREMIUM PROFISSIONAL FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;27.782.888/0001-18;214.28;0.12
VINLAND MACRO PLUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.593.439/0001-36;217.23;0.12
ACE CAPITAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;34.774.662/0001-30;196.79;0.11
EXODUS 180 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO;22.415.840/0001-58;188.08;0.11
GAUSS II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;20.725.810/0001-12;189.26;0.11
KINEA TLS FUNDO DE INVESTIMENTO MULTIMERCADO;31.570.019/0001-05;186.37;0.11
MAUÁ INSTITUCIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;18.048.639/0001-02;195.71;0.11
REAL INVESTOR FUNDO DE INVESTIMENTO MULTIMERCADO;28.911.549/0001-57;192.77;0.11
RYAN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24.140.182/0001-64;189.25;0.11
SANTANDER STAR LONG E SHORT DIRECIONAL MULTIMERCADO FIC FI;24.986.084/0001-42;194.18;0.11
TAVOLA LONG E SHORT FUNDO DE INVESTIMENTO MULTIMERCADO;07.659.002/0001-36;199.57;0.11
TRUXT RED MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.406.465/0001-30;186.73;0.11
VERDE 90 DISTRIBUIDORES FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;07.455.788/0001-70;187.03;0.11
XP LONG BIASED DOMINUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS INVESTIMENTO MULTIMERCADO;30.797.425/0001-34;192.52;0.11
ARX EXTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;06.041.290/0001-06;168.49;0.1
BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO SEP 500 MAIS;18.079.540/0001-78;169.06;0.1
CSHG FUTURE TRENDS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO - IE;28.971.643/0001-00;166.01;0.1
FUNDO DE INVESTIMENTO MULTIMERCADO SCULPTOR CRÉDITO PRIVADO;14.655.180/0001-54;182.27;0.1
GAP MULTIPORTFOLIO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;03.804.917/0001-37;179.45;0.1
GAUSS ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;25.307.278/0001-37;165.77;0.1
GRDS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.470.660/0001-20;176.9;0.1
LEGACY CAPITAL SELECTION FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.351.337/0001-04;183.07;0.1
MZK DINÂMICO ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29.762.338/0001-62;173.9;0.1
PERSEVERA COMPASS ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;32.041.825/0001-40;179.35;0.1
RPS TOTAL RETURN D60 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;22.354.037/0001-50;163.97;0.1
SAGA TOP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;13.503.226/0001-57;169.52;0.1
SPX CAPITAL PORTFOLIO FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;12.884.390/0001-99;175.09;0.1
VERDE 14 FUNDO DE INVESTIMENTO EM COTAS FUNDO DE INVESTIMENTO MULT;22.188.086/0001-60;168.26;0.1
ITAÚ LONG BIAS MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;29.259.742/0001-18;150.24;0.09
KAPITALO PWM FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;25.423.269/0001-01;150.3;0.09
LEGACY CAPITAL TOULOUSE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;33.150.783/0001-49;163.93;0.09
M SQUARE GLOBAL EQUITY MANAGERS FI EM COTAS DE FI MULTIMERCADO INVESTIMENTO NO EXTERIOR;30.553.981/0001-65;146.81;0.09
MILES ACER LONG BIAS B FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;32.902.638/0001-04;150.12;0.09
MILES ACER LONG BIAS RED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;31.875.299/0001-51;147;0.09
TAVOLA ABSOLUTO ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;34.096.201/0001-56;158.64;0.09
VENTOR IMA-B HEDGE FUNDO DE INVESTIMENTO MULTIMERCADO;19.941.946/0001-80;162.49;0.09
VINLAND MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;28.581.166/0001-68;163.94;0.09
XP ADVISORY PORTFOLIO PRIVATE IV FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;34.231.938/0001-34;159.7;0.09
XP MACRO PLUS DOMINUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.754.229/0001-82;160.09;0.09
APEX LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27.826.024/0001-50;140.94;0.08
CTM HEDGE FUNDO DE INVESTIMENTO MULTIMERCADO - LONGO PRAZO;18.956.729/0001-00;144.3;0.08
DRAKEN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.491.375/0001-95;142.81;0.08
LEGACY CAPITAL AZWM FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;33.925.125/0001-81;132.57;0.08
LEGACY CAPITAL VC FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;33.953.309/0001-55;148.4;0.08
MILES ACER LONG BIAS ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.773.649/0001-06;128.38;0.08
PERFIN EQUITY HEDGE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;09.068.336/0001-60;144.59;0.08
POLO LONG BIAS I FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27.347.332/0001-01;134.77;0.08
VITREO MONEY RIDER HEDGE FUND FUNDO DE INVESTIMENTO MULTIMERCADO INVESTIMENTO EXTERIOR;35.120.080/0001-01;139.59;0.08
XP LONG BIASED ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.869.315/0001-30;131.46;0.08
ALASKA RANGE FUNDO DE INVESTIMENTO MULTIMERCADO;13.001.211/0001-90;118.36;0.07
APEX LONG BIASED ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;33.345.956/0001-84;119.04;0.07
AZWM DAHLIA TOTAL RETURN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;32.783.483/0001-34;126.86;0.07
BTG PACTUAL MULTISTRATEGIES FUNDO DE INVESTIMENTO MULTIMERCADO;05.090.778/0001-52;113.55;0.07
CHARLES DE GAULLE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29.852.634/0001-54;112.61;0.07
CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;31.416.575/0001-13;121.4;0.07
LEGACY CAPITAL EXCELLENCE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;32.355.677/0001-39;120.95;0.07
SAFARI 45 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.592.738/0001-56;117.68;0.07
VENTOR HEDGE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;07.088.369/0001-47;129.76;0.07
BB MULTIMERCADO LONGO PRAZO LONG BIAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;33.617.774/0001-15;104.4;0.06
ENTERPRISE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27.945.311/0001-80;102.36;0.06
GRDP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;19.203.036/0001-09;110.66;0.06
MILES ACER A LONG BIAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.665.589/0001-08;96.85;0.06
POLO MACRO FUNDO DE INVESTIMENTO MULTIMERCADO;11.228.500/0001-00;113.21;0.06
RPS TOTAL RETURN D30 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;19.211.696/0001-23;109.38;0.06
SN CAPITAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.210.471/0001-18;107.48;0.06
SOLANA EQUITY HEDGE II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;28.321.220/0001-36;105.43;0.06
TRUXT R MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.269.540/0001-69;97.62;0.06
TYPHOON FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.179.699/0001-92;109.91;0.06
VERDE AM HORIZONTE FEEDER FI EM COTAS DE FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;21.956.674/0001-34;105.54;0.06
XP LONG SHORT 60 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;21.827.663/0001-54;110.84;0.06
BTG PACTUAL MULTISTRATEGIES ADVANCED PLUS FUNDO DE INVESTIMENTO MULTIMERCADO;12.227.908/0001-11;95.25;0.05
HOD MULTIPLICA HIGH YIELD 360 FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;34.867.354/0001-50;90.87;0.05
M SQUARE GLOBAL EQUITY MANAGERS INSTITUCIONAL FIC DE FI MULTIMERCADO INVESTIMENTO NO EXTERIOR;18.323.970/0001-93;88.67;0.05
OCEANA SUSTENTABILIDADE SOCIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;18.611.532/0001-20;84.01;0.05
